X_1790_104500100154_Wheat1	0.004
X_1790_Fatehgarhsahib_104500100154_Faridkot_Wheat	4000.0
X_1838_104600100008_Wheat1	0.001
X_1838_105400660008_Wheat1	0.003
X_1838_Bathinda_104600100008_Bathinda_Wheat	1000.0
X_1838_Bathinda_105400660008_Barnala_Wheat	3000.0
X_1874_104500300047_Wheat1	0.001
X_1874_104500300049_Wheat1	0.003
X_1874_Barnala_104500300047_Faridkot_Wheat	1000.0
X_1874_Barnala_104500300049_Faridkot_Wheat	3000.0
X_1881_104900600009_Wheat1	0.003
X_1881_Faridkot_104900600009_Amritsar_Wheat	3000.0
X_1917_104500100001_Wheat1	0.001
X_1917_104900600043_Wheat1	0.003
X_1917_Fatehgarhsahib_104500100001_Faridkot_Wheat	1000.0
X_1917_Fatehgarhsahib_104900600043_Amritsar_Wheat	3000.0
X_1960_104500300048_Wheat1	0.004
X_1960_Fazilka_104500300048_Faridkot_Wheat	4000.0
X_1988_104500100154_Wheat1	0.001
X_1988_105400660005_Wheat1	0.003
X_1988_Amritsar_104500100154_Faridkot_Wheat	1000.0
X_1988_Amritsar_105400660005_Barnala_Wheat	3000.0
X_1994_104600100006_Wheat1	0.002
X_1994_105400660004_Wheat1	0.002
X_1994_Amritsar_104600100006_Bathinda_Wheat	2000.0
X_1994_Amritsar_105400660004_Barnala_Wheat	2000.0
X_2024_104600100003_Wheat1	0.003
X_2024_104600100005_Wheat1	0.001
X_2024_Fatehgarhsahib_104600100003_Bathinda_Wheat	3000.0
X_2024_Fatehgarhsahib_104600100005_Bathinda_Wheat	1000.0
X_2042_104600100002_Wheat1	0.002
X_2042_105400660010_Wheat1	0.002
X_2042_Amritsar_104600100002_Bathinda_Wheat	2000.0
X_2042_Amritsar_105400660010_Barnala_Wheat	2000.0
X_2101_104600100002_Wheat1	0.001
X_2101_104900400001_Wheat1	0.003
X_2101_Bathinda_104600100002_Bathinda_Wheat	1000.0
X_2101_Bathinda_104900400001_Amritsar_Wheat	3000.0
X_2174_104500300049_Wheat1	0.001
X_2174_104600100005_Wheat1	0.002
X_2174_104600100009_Wheat1	0.001
X_2174_Faridkot_104500300049_Faridkot_Wheat	1000.0
X_2174_Faridkot_104600100005_Bathinda_Wheat	2000.0
X_2174_Faridkot_104600100009_Bathinda_Wheat	1000.0
X_2211_104900600040_Wheat1	0.003
X_2211_105400660010_Wheat1	0.001
X_2211_Ferozepur_104900600040_Amritsar_Wheat	3000.0
X_2211_Ferozepur_105400660010_Barnala_Wheat	1000.0
X_2252_104500500021_Wheat1	0.001
X_2252_104900600030_Wheat1	0.003
X_2252_Faridkot_104500500021_Faridkot_Wheat	1000.0
X_2252_Faridkot_104900600030_Amritsar_Wheat	3000.0
X_2267_105400660003_Wheat1	0.003
X_2267_105400660004_Wheat1	0.001
X_2267_Ferozepur_105400660003_Barnala_Wheat	3000.0
X_2267_Ferozepur_105400660004_Barnala_Wheat	1000.0
X_6448_104500700028_Wheat1	0.004
X_6448_Fatehgarhsahib_104500700028_Faridkot_Wheat	4000.0
X_6948_104600100007_Wheat1	0.004
X_6948_Ferozepur_104600100007_Bathinda_Wheat	4000.0
X_7507_104600100009_Wheat1	0.004
X_7507_Barnala_104600100009_Bathinda_Wheat	4000.0
X_7586_104500500021_Wheat1	0.004
X_7586_Bathinda_104500500021_Faridkot_Wheat	4000.0
X_7616_105400660002_Wheat1	0.003
X_7616_Bathinda_105400660002_Barnala_Wheat	3000.0
X_7649_104500300049_Wheat1	0.001
X_7649_105400660009_Wheat1	0.003
X_7649_Fazilka_104500300049_Faridkot_Wheat	1000.0
X_7649_Fazilka_105400660009_Barnala_Wheat	3000.0
X_7674_104500300047_Wheat1	0.004
X_7674_Bathinda_104500300047_Faridkot_Wheat	4000.0
X_7712_104600100006_Wheat1	0.001
X_7712_104900100029_Wheat1	0.003
X_7712_Fatehgarhsahib_104600100006_Bathinda_Wheat	1000.0
X_7712_Fatehgarhsahib_104900100029_Amritsar_Wheat	3000.0
X_7732_104500300048_Wheat1	0.001
X_7732_104900600042_Wheat1	0.003
X_7732_Ferozepur_104500300048_Faridkot_Wheat	1000.0
X_7732_Ferozepur_104900600042_Amritsar_Wheat	3000.0
X_7742_104500700028_Wheat1	0.001
X_7742_104900900024_Wheat1	0.003
X_7742_Barnala_104500700028_Faridkot_Wheat	1000.0
X_7742_Barnala_104900900024_Amritsar_Wheat	3000.0
X_7754_104600100008_Wheat1	0.004
X_7754_Bathinda_104600100008_Bathinda_Wheat	4000.0
X_7839_104500100001_Wheat1	0.004
X_7839_Amritsar_104500100001_Faridkot_Wheat	4000.0
X_7850_104600100004_Wheat1	0.003
X_7850_104600100006_Wheat1	0.001
X_7850_Faridkot_104600100004_Bathinda_Wheat	3000.0
X_7850_Faridkot_104600100006_Bathinda_Wheat	1000.0
X_7854_104600100006_Wheat1	0.001
X_7854_105400660006_Wheat1	0.003
X_7854_Barnala_104600100006_Bathinda_Wheat	1000.0
X_7854_Barnala_105400660006_Barnala_Wheat	3000.0
X_7928_104600100007_Wheat1	0.001
X_7928_105400660007_Wheat1	0.003
X_7928_Fatehgarhsahib_104600100007_Bathinda_Wheat	1000.0
X_7928_Fatehgarhsahib_105400660007_Barnala_Wheat	3000.0
